geometry,locationdesc,locationdesc,age,geographiclevel,locationdesc,locationdesc,blv_rate,blv_standardized
POINT (-99.841559 29.719686),Real County,Real County,All ages,County,Real County,Real County,6.86,1.846473029045643
POINT (-105.309684 35.573296),San Miguel County,San Miguel County,All ages,County,San Miguel County,San Miguel County,6.85,1.8423236514522818
POINT (-80.847554 37.666908),Summers County,Summers County,All ages,County,Summers County,Summers County,6.85,1.8423236514522818
POINT (-98.144221 27.204776),Brooks County,Brooks County,All ages,County,Brooks County,Brooks County,6.85,1.8423236514522818
POINT (-80.206489 33.691189),Clarendon County,Clarendon County,All ages,County,Clarendon County,Clarendon County,6.8,1.821576763485477
POINT (-88.264164 32.016562),Choctaw County,Choctaw County,All ages,County,Choctaw County,Choctaw County,6.78,1.8132780082987552
POINT (-89.53803082499 32.745510099),Mississippi,Mississippi,18-39 years,State,Mississippi,Mississippi,2.3,1.7968749999999998
POINT (-91.252079 35.233191),Woodruff County,Woodruff County,All ages,County,Woodruff County,Woodruff County,6.72,1.7883817427385889
POINT (-88.626139 31.193014),Greene County,Greene County,All ages,County,Greene County,Greene County,6.72,1.7883817427385889
POINT (-89.042843 33.084925),Winston County,Winston County,All ages,County,Winston County,Winston County,6.72,1.7883817427385889
POINT (-100.898068 29.38073),Val Verde County,Val Verde County,All ages,County,Val Verde County,Val Verde County,6.69,1.7759336099585061
POINT (-84.506554 36.453953),Scott County,Scott County,All ages,County,Scott County,Scott County,6.66,1.7634854771784232
POINT (-96.090179 34.324459),Atoka County,Atoka County,All ages,County,Atoka County,Atoka County,6.65,1.7593360995850622
POINT (-90.059209 36.326743),Dunklin County,Dunklin County,All ages,County,Dunklin County,Dunklin County,6.62,1.746887966804979
POINT (-94.816419 34.001191),McCurtain County,McCurtain County,All ages,County,McCurtain County,McCurtain County,6.62,1.746887966804979
POINT (-89.53803082499 32.745510099),Mississippi,Mississippi,40-64 years,State,Mississippi,Mississippi,4.54,1.739463601532567
POINT (-97.028909 34.507027),Murray County,Murray County,All ages,County,Murray County,Murray County,6.6,1.7385892116182569
POINT (-92.44568007099 31.312660644),Louisiana,Louisiana,40-64 years,State,Louisiana,Louisiana,4.53,1.7356321839080462
POINT (-106.611337 45.907996),Rosebud County,Rosebud County,All ages,County,Rosebud County,Rosebud County,6.56,1.721991701244813
POINT (-100.3735306369 44.353130053),South Dakota,South Dakota,18-39 years,State,South Dakota,South Dakota,2.2,1.71875
POINT (-90.859408 32.924745),Sharkey County,Sharkey County,All ages,County,Sharkey County,Sharkey County,6.53,1.7095435684647302
POINT (-108.1098303529 43.235541343),Wyoming,Wyoming,0-17 years,State,Wyoming,Wyoming,1.28,1.7066666666666668
POINT (-91.344782 29.740593),St. Mary Parish,St. Mary Parish,All ages,County,St. Mary Parish,St. Mary Parish,6.51,1.701244813278008
POINT (-84.77497104799 37.645970271),Kentucky,Kentucky,40-64 years,State,Kentucky,Kentucky,4.43,1.6973180076628351
POINT (-88.931815 33.932227),Chickasaw County,Chickasaw County,All ages,County,Chickasaw County,Chickasaw County,6.5,1.697095435684647
POINT (-95.719834 34.957989),Pittsburg County,Pittsburg County,All ages,County,Pittsburg County,Pittsburg County,6.5,1.697095435684647
POINT (-106.2405809849 34.520880952),New Mexico,New Mexico,18-39 years,State,New Mexico,New Mexico,2.16,1.6875
POINT (-81.752712 38.054143),Boone County,Boone County,All ages,County,Boone County,Boone County,6.46,1.6804979253112031
POINT (-91.06645 29.922957),Assumption Parish,Assumption Parish,All ages,County,Assumption Parish,Assumption Parish,6.46,1.6804979253112031
POINT (-90.791802 36.627212),Ripley County,Ripley County,All ages,County,Ripley County,Ripley County,6.46,1.6804979253112031
POINT (-72.51764079099 43.625381239),Vermont,Vermont,0-17 years,State,Vermont,Vermont,1.26,1.68
POINT (-107.804609 35.113977),Cibola County,Cibola County,All ages,County,Cibola County,Cibola County,6.44,1.6721991701244814
POINT (-83.266566 37.91274),Morgan County,Morgan County,All ages,County,Morgan County,Morgan County,6.44,1.6721991701244814
POINT (-106.2405809849 34.520880952),New Mexico,New Mexico,40-64 years,State,New Mexico,New Mexico,4.36,1.6704980842911878
POINT (-95.533567 34.020247),Choctaw County,Choctaw County,All ages,County,Choctaw County,Choctaw County,6.43,1.66804979253112
POINT (-92.103312 33.569321),Bradley County,Bradley County,All ages,County,Bradley County,Bradley County,6.43,1.66804979253112
POINT (-81.202994 37.770284),Raleigh County,Raleigh County,All ages,County,Raleigh County,Raleigh County,6.43,1.66804979253112
POINT (-106.2405809849 34.520880952),New Mexico,New Mexico,0-17 years,State,New Mexico,New Mexico,1.25,1.6666666666666667
POINT (-92.27449074299 34.748650124),Arkansas,Arkansas,40-64 years,State,Arkansas,Arkansas,4.34,1.6628352490421456
POINT (-82.090612 36.935284),Russell County,Russell County,All ages,County,Russell County,Russell County,6.37,1.6431535269709543
POINT (-89.504736 32.725455),Leake County,Leake County,All ages,County,Leake County,Leake County,6.37,1.6431535269709543
POINT (-97.52107021399 35.472031356),Oklahoma,Oklahoma,18-39 years,State,Oklahoma,Oklahoma,2.1,1.640625
POINT (-89.529197 32.401463),Scott County,Scott County,All ages,County,Scott County,Scott County,6.36,1.6390041493775933
POINT (-66.5 18.05),Juana Diaz Municipality,Juana Diaz Municipality,All ages,County,Juana Diaz Municipality,Juana Diaz Municipality,6.36,1.6390041493775933
POINT (-98.578116 31.486443),Mills County,Mills County,All ages,County,Mills County,Mills County,6.36,1.6390041493775933
POINT (-102.356398 30.159691),Terrell County,Terrell County,All ages,County,Terrell County,Terrell County,6.36,1.6390041493775933
POINT (-82.840667 31.516),Coffee County,Coffee County,All ages,County,Coffee County,Coffee County,6.36,1.6390041493775933
POINT (-87.369219 32.581066),Perry County,Perry County,All ages,County,Perry County,Perry County,6.31,1.618257261410788
POINT (-87.87922 37.127446),Caldwell County,Caldwell County,All ages,County,Caldwell County,Caldwell County,6.31,1.618257261410788
POINT (-86.63186076199 32.840571122),Alabama,Alabama,40-64 years,State,Alabama,Alabama,4.17,1.5977011494252875
POINT (-97.52107021399 35.472031356),Oklahoma,Oklahoma,40-64 years,State,Oklahoma,Oklahoma,4.16,1.5938697318007664
POINT (-83.288681 34.556904),Stephens County,Stephens County,All ages,County,Stephens County,Stephens County,6.21,1.5767634854771782
POINT (-118.531788 48.622195),Ferry County,Ferry County,All ages,County,Ferry County,Ferry County,6.2,1.5726141078838174
POINT (-99.767465 33.178592),Haskell County,Haskell County,All ages,County,Haskell County,Haskell County,6.2,1.5726141078838174
POINT (-87.253922 33.834858),Walker County,Walker County,All ages,County,Walker County,Walker County,6.15,1.5518672199170125
POINT (-82.058814 37.264125),Buchanan County,Buchanan County,All ages,County,Buchanan County,Buchanan County,6.15,1.5518672199170125
POINT (-89.53803082499 32.745510099),Mississippi,Mississippi,65-84 years,State,Mississippi,Mississippi,7.87,1.5492125984251968
